,gush_number,lat_lon,restaurant_number
131,14127,"33.03205828407195,35.43530252061765",22
132,14456,"33.01289353348314,35.43373240444615",22
133,14454,"33.01406964390394,35.44290205051819",19
134,14090,"33.02947542825173,35.43569714116006",19
135,14131,"33.02652620215108,35.43718894227302",19
136,14088,"33.02758883238262,35.431796063155",19
137,14115,"33.016984378695284,35.427629758711326",17
138,14139,"33.01490986082495,35.41755110401143",17
139,14141,"33.013781730486315,35.42352962069551",17
140,14138,"33.0113945161128,35.4163880284411",20
141,14124,"33.011373886608425,35.41307912993204",16
142,1387,"31.63498635602186,34.65217175146843",5
143,2579,"31.63222286772364,34.61400220436727",18
144,1442,"31.62141916896443,34.51687014608006",0
145,2681,"31.68683823251278,34.64804364195134",7
146,2682,"31.67811176769825,34.64912500654452",7
147,1388,"31.632334686822443,34.65702208808652",3
148,1275,"31.630078305013082,34.579060967986685",24
149,1443,"31.618648388985772,34.526458127514196",6
150,1381,"31.617799906968013,34.6421939960622",2
151,2849,"31.58723741428664,34.55747529265764",4
152,2178,"31.576367848082075,34.64255925626636",2
153,5316,"31.874897173506817,35.0303857584996",51
154,5337,"31.871776888104957,35.02314514702628",45
155,1380,"31.61678562100903,34.6436059561814",1
156,1439,"31.613265141133745,34.5221716628052",4
157,1440,"31.611065945337266,34.50840976387573",2
158,1368,"31.609962231661566,34.6373934344089",2
159,2832,"31.609129314750927,34.51963157706374",2
160,2177,"31.57570551687906,34.64415644278659",2
161,1640,"31.605854281048288,34.644796699609536",1
162,2170,"31.58437199617374,34.635857951356",3
163,5336,"31.868557749089927,35.01929964849383",20
164,5335,"31.8680433899215,35.016012114406955",19
165,1261,"31.599876885942347,34.62392416890743",1
166,2172,"31.59593369828047,34.631383000476646",0
167,1644,"31.595916040202063,34.64238351005188",0
168,3605,"31.82185376263097,34.813334680239514",11
169,1195,"31.673934350547338,34.60121211704801",60
170,1221,"31.67125288910922,34.600931800794825",60
171,3020,"31.65569949038203,34.554471782673566",60
172,1211,"31.65502847732587,34.590739439225295",60
173,1207,"31.655576210139525,34.58650630828034",60
174,1444,"31.624336526969724,34.53025642036065",6
175,203001,"33.27571572307892,35.64707263711205",11
176,202001,"33.20895539186713,35.69825446252916",2
177,2008,"31.74908748144394,34.633817115575084",15
178,2526,"31.728631111372476,34.65176290372592",7
179,1989,"31.751588654188062,34.60657080891872",16
180,2007,"31.75218435643931,34.62499132360799",19
181,1990,"31.750221472489073,34.61301688490226",16
182,1992,"31.747756584670388,34.62440167507005",7
183,1991,"31.744068228103504,34.62109084377295",9
184,1988,"31.743605672050762,34.60719872601924",9
185,1982,"31.739816305825606,34.60264234566137",5
186,1987,"31.740650647387668,34.61242359633577",6
187,1986,"31.738576272844384,34.620141398893665",5
188,1981,"31.735527991767974,34.59785661140651",0
189,1985,"31.734349639943613,34.61283389664047",1
190,1980,"31.732816704767682,34.60377048039128",1
191,1984,"31.730137267931248,34.61545091580213",2
192,1978,"31.72559163361592,34.60597939600834",5
193,2673,"31.685789004324025,34.640470305958516",9
194,2701,"31.68080562931727,34.621742324216704",25
195,1983,"31.72496315636493,34.61498889371885",2
196,1977,"31.719312565355395,34.61174991107158",3
197,2568,"31.642865666903074,34.61792896401516",54
198,4712,"31.82686083630781,34.80412556167595",33
199,2624,"31.858187699992655,34.77750623170327",17
200,4705,"31.81941355311709,34.8092074026902",13
201,8880,"32.11656549786447,34.986333494598384",60
202,1166,"31.661877093006403,34.6079237741546",58
203,1212,"31.655859060156562,34.59613662459531",60
204,1658,"31.651149864626134,34.58605639558595",60
205,1161,"31.65594147684844,34.610434403354084",60
206,1922,"31.633700821971964,34.525420240416544",5
207,1480,"31.640668864881587,34.57319831178234",60
208,369,"31.686618519228553,34.59614581282807",60
209,370,"31.685269453372165,34.59384863225763",60
210,19570,"32.98324556826943,35.41513039595112",12
211,19566,"32.984312954281705,35.40342792325295",24
212,19155,"32.935574415977925,35.29930106379713",60
213,19132,"32.93545545199707,35.31489224524109",60
214,18709,"32.99141944863794,35.27683638343327",60
215,14338,"33.08855190099902,35.474742449673016",2
216,14335,"33.08971313845471,35.46192576185817",3
217,14339,"33.08903701142493,35.47085746490262",2
218,14340,"33.08828109868042,35.486953255550745",2
219,14336,"33.083300778769896,35.46039087549878",4
220,14337,"33.08326154931477,35.4705150852197",1
221,14342,"33.08099452388637,35.492850948511496",3
222,14341,"33.080852416205914,35.481399679181",3
223,14301,"33.0722069420515,35.48443504768403",10
224,14172,"33.050232294053764,35.47393722253646",21
225,14179,"33.043470810235775,35.4960792804864",11
226,14182,"33.03904653096157,35.50298515287812",11
227,14181,"33.03545044024304,35.487179311410124",11
228,14056,"33.034638793958734,35.49836779478264",11
229,14183,"33.03563581240605,35.508886406637956",10
230,14057,"33.03151104162366,35.49311387525887",12
231,19569,"32.98867616192538,35.41841190777531",8
232,19567,"32.986351954217746,35.40651858275736",20
233,19539,"32.991457544428506,35.38247706182012",24
234,19561,"32.95763630940642,35.431485813349084",15
235,19558,"32.954154608696506,35.41042735030846",25
236,19138,"32.93293827939467,35.29948281028029",60
237,19831,"33.06199611041714,35.26374980037713",6
238,19832,"33.0620453690378,35.27474432035075",8
239,19563,"32.98933924998288,35.39398441395004",20
240,19564,"32.98403698559782,35.39427301532132",24
241,19721,"33.02653899766698,35.30718803632807",27
242,19684,"33.043046037218744,35.30897786581236",20
243,18626,"33.032692565405306,35.245755196509315",53
244,19133,"32.937651175213134,35.313249837909325",60
245,14089,"33.02679069388816,35.434043193951815",19
246,14113,"33.02176471856502,35.434233268117026",17
247,14132,"33.02395374652628,35.43432783592825",18
248,14123,"33.01415514762372,35.41245450726053",11
249,14140,"33.00977862570914,35.42144871772225",22
250,14136,"33.00770342625467,35.410889406043026",11
251,14137,"33.00749374849941,35.416691058244844",22
252,14122,"33.01518667970652,35.407334981918034",2
253,14094,"33.03973221303615,35.44237003838523",21
254,14114,"33.017622861551516,35.43232358395364",16
255,18740,"32.9699494349476,35.260429585676334",20
256,18731,"32.982316075175326,35.25593488365862",33
257,20325,"32.528831725589015,35.13359127598682",60
258,12423,"32.52474025821427,35.0339783160287",44
259,20350,"32.52367879515264,35.12884520232679",60
260,20425,"32.523784521372406,35.12176188277184",60
261,10224,"32.52143730250028,34.970236110535694",27
262,20334,"32.520089644924994,35.11317057870169",27
263,12155,"32.51192968627252,35.11151223567013",27
264,12154,"32.51141243377935,35.10254576990759",22
265,20371,"32.47153349357152,35.085097253764445",26
266,20378,"32.465275092613226,35.0937024563055",11
267,20370,"32.46595482307269,35.083925754833096",11
268,20379,"32.466695721378294,35.10390438806592",12
269,2212,"31.764655144985007,34.78561338744338",15
270,2603,"31.75565282266109,34.77757960328289",31
271,2605,"31.753459601274606,34.79589042700311",9
272,2201,"31.75784915881653,34.7833019382518",12
273,2199,"31.75767232164858,34.78548413099172",11
274,2699,"31.747356551540435,34.86117661179886",3
275,2716,"31.717611591849387,34.789015243189155",5
276,517,"31.714213888554575,34.79313946928815",2
277,2734,"31.709295543529816,34.759437794366335",36
278,34107,"31.704993982470985,34.77302083720155",37
279,34010,"31.69129195473531,34.86107441448498",3
280,2735,"31.6943334276098,34.753862538260286",10
281,1702,"31.684349431299253,34.760830765283536",6
282,2931,"31.681003777826184,34.76037508999659",5
283,34074,"31.665032834607594,34.8744613679624",4
284,34201,"31.622522514964928,34.87094076098094",2
285,34207,"31.62634078871875,34.86327362419305",2
286,34118,"31.6271983794055,34.91213361768053",0
287,34208,"31.618121205159948,34.85046006820679",2
288,2302,"31.773561963523004,34.81416424683142",10
289,2602,"31.766635794642724,34.769370864768895",15
290,2941,"31.663659274956636,34.764497395936466",5
291,1695,"31.65535839387403,34.794203257181664",5
292,34068,"31.652766685096438,34.84147051311344",2
