,gush_number,lat_lon,restaurant_number
4339,17546,"32.80805727584667,35.36714724121789",10
4340,10098,"32.49596444277877,34.980896850273005",60
4341,10503,"32.815108400503554,35.11433965350532",59
4342,10090,"32.50076389186789,34.976640018186615",60
4343,10127,"32.50895066117747,34.98129155728259",29
4344,100041,"31.33628311774081,35.27324802381138",0
4345,10128,"32.50585623796121,34.994727453090725",12
4346,100040,"31.364591179284503,35.26950357187747",0
4347,17324,"32.81517232449534,35.44358032866518",5
4348,17538,"32.816935760289525,35.360797670389566",7
4349,18158,"32.99825314461626,35.12078819034811",60
4350,100030,"31.33258839347951,35.18120253544801",0
4351,100029,"31.310353762632207,35.17159511583861",0
4352,38160,"31.269966209599406,34.80577412320283",60
4353,18616,"33.04719640203603,35.22902626674205",21
4354,13074,"32.95888320797981,35.49417180584471",60
4355,13219,"32.96004077324779,35.490676602767536",60
4356,19456,"32.89503104450114,35.36696866878284",8
4357,19500,"32.95708845649586,35.35900834259165",59
4358,400163,"31.327164420050824,34.864857001550774",12
4359,400089,"31.336226422134263,34.86011909981988",11
4360,19515,"32.960523150297,35.37659380797317",51
4361,19533,"32.95344613332823,35.38869300710135",49
4362,17525,"32.71559757838738,35.31302197186418",60
4363,8908,"32.23674111677603,35.01520691937285",21
4364,8912,"32.22336669053733,34.994339767333024",19
4365,5163,"31.94697041353387,34.90463277535807",60
4366,5553,"31.95074752985296,34.90593315125181",60
4367,13092,"32.96257368766358,35.5006742857539",60
4368,8916,"32.225806492614986,34.999729924399546",16
4369,19551,"32.942551999191764,35.39833378818463",51
4370,38272,"31.253957994750238,35.20408344865964",38
4371,19305,"32.83728975630933,35.31989904742982",60
4372,19406,"32.88252536173681,35.3832321441218",26
4373,19309,"32.82223107306879,35.306366650467616",7
4374,18645,"33.027348562877016,35.230241968828544",29
4375,13086,"32.9565663944609,35.491748604706785",60
4376,13089,"32.95540316059197,35.498056950440734",60
4377,19542,"32.93860883184634,35.39952751617307",49
4378,19544,"32.94364496575248,35.39402916209082",52
4379,19545,"32.943427338520635,35.38901499942019",52
4380,38241,"31.2516320651931,35.20062114452137",37
4381,19306,"32.82906632676242,35.32325914863437",27
4382,18658,"33.025049573213565,35.21959739898168",9
4383,8903,"32.244612892292494,35.01814784771236",38
4384,8902,"32.243933278598995,35.00913230268783",38
4385,8914,"32.22161971498364,34.99975348331191",18
4386,38203,"31.248035102098076,35.19485292400403",37
4387,19393,"32.83088084110944,35.33182331229284",31
4388,19342,"32.82567152148852,35.33369518767026",15
4389,19340,"32.83126690813193,35.30236787518976",17
4390,38092,"31.267869631807606,34.80005150836559",60
4391,19429,"32.89602393848756,35.374030379461274",13
4392,19518,"32.95577933345519,35.38055038696862",51
4393,17086,"32.62184867827981,35.38002998568776",7
4394,30820,"31.77619674620839,35.22435174462116",60
4395,38158,"31.27256852776776,34.805137720995724",60
4396,13607,"32.94932226470966,35.49162811068474",60
4397,18662,"33.02438459708397,35.21072194365378",7
4398,17090,"32.6379268911706,35.38241497995775",6
4399,17089,"32.63749209993047,35.38241162942096",6
4400,18638,"33.02481690012522,35.25281814682076",60
4401,18640,"33.028953685943776,35.25137437562586",58
4402,19304,"32.83881837060056,35.30819248683454",60
4403,18619,"33.03897553713532,35.23983845662975",40
4404,38093,"31.265612875417613,34.801300804797584",60
4405,8464,"32.29024757150248,35.00761058842732",60
4406,19541,"32.93679292726786,35.40435285864506",37
4407,8915,"32.22447969389486,35.0024243191804",19
4408,19550,"32.94269745272631,35.40197473385104",47
4409,13085,"32.960578277491564,35.48998815184914",60
4410,13605,"32.96079297530505,35.488480675246855",60
4411,19543,"32.94008803729003,35.39428866233356",51
4412,19548,"32.94076824476072,35.40588907898706",37
4413,19310,"32.82345309642053,35.31999497953975",8
4414,8465,"32.28997902016189,35.013300241045464",60
4415,16683,"32.59973129143737,35.29070969585041",60
4416,400616,"31.31159526242636,34.87696085842597",13
4417,400617,"31.31589284861324,34.88071439186052",13
4418,400614,"31.31406186465969,34.876086835662605",13
4419,19502,"32.957262704704775,35.37088767951084",56
4420,312,"31.721259049411664,34.74767175553567",38
4421,18649,"33.036007652120595,35.23751976822051",46
4422,17526,"32.714170130066286,35.30963999961545",60
4423,17085,"32.61194136435948,35.37504192402603",10
4424,8913,"32.22207087440141,34.995278839768694",19
4425,18416,"33.01720789692709,35.24354931174613",56
4426,19302,"32.836785014588294,35.28876074122017",54
4427,19308,"32.830268655716445,35.296308512915886",18
4428,400332,"31.123399348959687,34.92301476131179",0
4429,100866,"31.314805281994026,34.90440590726587",25
4430,19303,"32.83877042045485,35.29826079154231",48
4431,19526,"32.95861483899563,35.38817147159524",51
4432,400524,"31.315229735951494,34.88957922058988",15
4433,19307,"32.82916871216667,35.312545338280266",20
4434,29526,"31.806006428592518,35.106261317088844",43
4435,18615,"33.05615508333763,35.23536843868013",6
4436,17366,"32.69422002181473,35.51933954176258",11
4437,17367,"32.7012185304632,35.51645794812691",11
4438,17374,"32.68704665165965,35.53751447803664",14
4439,17375,"32.68163400086985,35.53475265650467",6
4440,17125,"32.67598853382917,35.39316711717979",22
4441,17004,"32.67815436755054,35.39146225637802",22
4442,17124,"32.676211091289794,35.38941237213776",22
4443,17780,"32.617824679145336,35.3267302582809",39
4444,38115,"31.244458210621303,34.77654930913843",60
4445,38190,"31.24114367238073,34.77626832802206",60
4446,23127,"32.52497883356807,35.41235543485022",9
4447,18932,"32.95746005718579,35.21183024176859",47
4448,18524,"33.056889970163596,35.21151391424067",5
4449,18521,"33.063474817979824,35.22020726291857",3
4450,18523,"33.06697142587425,35.21147518295816",5
4451,20861,"32.53028264999653,35.362873228348",8
4452,20862,"32.54172130050115,35.357274466192656",8
4453,20864,"32.53490735424046,35.37393507430202",9
4454,23134,"32.5896188246287,35.46416034412916",3
4455,11633,"32.80741248684064,35.028676477939705",60
4456,11642,"32.80496041073651,35.02744986694487",60
4457,14039,"33.014915646409555,35.47933520880302",12
4458,14160,"33.01602893401112,35.480281461115496",13
4459,10381,"32.77114983663612,35.137139890452886",6
4460,17234,"32.621598182097614,35.33407045552201",18
4461,17769,"32.62589878548657,35.326841083727054",39
4462,16901,"32.69047094166036,35.32769222197821",60
4463,17835,"32.6905209714174,35.31490392432562",60
4464,20863,"32.53719936591371,35.365542840097575",10
4465,10447,"32.83839732390498,35.079712767474106",60
4466,14050,"33.01292583627668,35.476708948876734",22
4467,17000,"32.66937988126796,35.39197626477495",22
4468,18935,"32.95293662944229,35.20982610515851",51
4469,23169,"32.53756254206911,35.38139070973776",10
4470,17236,"32.61771758699116,35.35279424513459",15
4471,17238,"32.61071214075281,35.360858731660684",12
4472,17446,"32.67551515914292,35.23831570473235",23
4473,14146,"33.02550107023178,35.44634602982069",19
4474,18617,"33.055201394431464,35.243455660768646",6
4475,38117,"31.24451472059729,34.78098016852982",60
4476,38125,"31.242435336903924,34.77223016907234",60
4477,38060,"31.243007661924977,34.777862091562795",60
4478,20865,"32.527182978428435,35.3717667388643",5
4479,20866,"32.527282880791226,35.37911760071336",5
4480,14044,"33.01161432453304,35.48012431078654",13
4481,18920,"32.9529412172334,35.225191017084214",26
4482,28113,"31.73179058514784,35.181485964118046",60
4483,18953,"33.00141391357093,35.17944300697999",12
4484,18952,"32.998872413120026,35.193766459708385",10
4485,18955,"32.99337576686377,35.18543488001205",9
4486,17771,"32.62289133275048,35.32579924258607",40
4487,18930,"32.959495677671555,35.21505653381092",39
4488,16554,"32.69304186378448,35.322379495675214",60
4489,18954,"32.99351225237138,35.17692923049068",13
4490,11620,"32.78354046955231,35.07498309413017",60
4491,11619,"32.78891195188345,35.07523472379778",60
4492,14037,"33.020001355482506,35.46950345127944",20
4493,14098,"33.02739007214043,35.44841736938581",19
4494,18956,"32.992933205213625,35.197105685286324",8
4495,18957,"32.995761757250136,35.20881849929611",11
4496,18919,"32.9542961036673,35.23053828297374",23
4497,18618,"33.04895623994706,35.236777863673176",18
4498,18747,"32.96720492625151,35.211280319598124",45
4499,18933,"32.957381359264524,35.20858671834613",56
4500,18424,"33.00556265716128,35.20318938027419",8
4501,14049,"33.00964802229106,35.48387643457478",3
4502,18679,"33.05968408667988,35.2510014639218",8
4503,39202,"31.102816484369804,35.45471108811919",0
4504,39201,"31.090399840819998,35.45081694330399",0
4505,30265,"31.782492932931948,35.1777455040224",60
4506,400957,"31.22098821211172,35.12793289900792",1
4507,18936,"32.95576848068821,35.26271592887716",28
4508,11622,"32.78878548689886,35.07145125595378",60
4509,11618,"32.79409299403116,35.07284435390558",60
4510,18961,"33.03024152987641,35.134347444101905",20
4511,30158,"31.776598507713405,35.20682013752767",60
4512,2505,"31.73929190911324,34.670146824818865",12
4513,17372,"32.688470677634434,35.512142636016605",10
4514,18931,"32.95652073494756,35.21491680612929",38
4515,18905,"32.9403017932187,35.229552229776004",39
4516,14036,"33.01752991219355,35.48180323837544",9
4517,10359,"32.7733667524893,35.1471909649996",15
4518,17373,"32.687432717351754,35.52457239964617",11
4519,20572,"32.55089426805301,35.33732010635789",8
4520,20853,"32.54150478538033,35.34322477518922",9
4521,20852,"32.54753037073828,35.34923993089045",7
4522,10360,"32.78766059540901,35.13835307574772",55
4523,10515,"32.783585972795635,35.13218698017592",47
4524,18678,"33.051371580353106,35.25038202052412",14
4525,18226,"33.0673440910737,35.19971126070354",4
4526,20854,"32.53933759440366,35.35188184091642",7
4527,10358,"32.78066912495529,35.14601703003911",40
4528,18683,"33.04897387554182,35.24211646798244",19
4529,10519,"32.78389874036055,35.11271316549519",38
4530,39686,"31.066141277336186,35.410731227826155",0
4531,39200,"31.074300403107742,35.44314631067435",0
4532,20860,"32.529857558703384,35.35683932485745",4
4533,10330,"32.772592738193886,35.17753188957854",13
4534,10347,"32.75828005480593,35.17674908943884",11
4535,13135,"33.21174129725006,35.57535702974365",60
4536,13163,"33.20100323681104,35.56500941936922",60
4537,18798,"32.98302890957949,35.19011528577045",40
4538,12715,"32.68031107806095,35.163574191340935",31
4539,12712,"32.685700495918944,35.15753564343686",38
4540,18892,"32.97651543015436,35.195757136147265",58
4541,18893,"32.97167164381745,35.19834803535909",60
4542,18891,"32.9718579632475,35.19174503857257",60
4543,7730,"32.417584399807865,34.95100704425724",58
4544,10365,"32.74734221536311,35.16726648288881",19
4545,12323,"32.738177367360585,35.171740947691966",23
4546,17122,"32.60628063539419,35.33479355628615",13
4547,17123,"32.60538404217922,35.33446675103699",12
4548,13209,"33.25861628996947,35.573153513069705",14
4549,13226,"33.25755062130459,35.57635813117751",14
4550,400305,"31.213785398139777,35.148488248714415",0
4551,400509,"31.22068001838681,35.15996617769839",3
4552,18914,"32.96074764760942,35.25538778656823",28
4553,18917,"32.96181624354172,35.23595311767295",30
4554,8927,"32.22880102412653,35.00675477607192",17
4555,2811,"31.537215397431854,34.58170603859042",47
4556,18670,"33.01713773850799,35.18366708725929",3
4557,17091,"32.59516166161248,35.41170901613988",5
4558,10348,"32.76564123756763,35.176420223739775",5
4559,7898,"32.38961805059057,34.958378728167276",12
4560,18686,"32.97252548420035,35.16823412097012",60
4561,12713,"32.68224186295201,35.152232251539296",31
4562,17117,"32.607017890863794,35.34960333248775",12
4563,17115,"32.60534787009315,35.335919532375726",14
4564,10383,"32.766450987793085,35.14919419999607",4
4565,400307,"31.213526904586427,35.15923082862791",0
4566,400618,"31.314014048135704,34.881062444234104",13
4567,400634,"31.311182599174877,34.88324301554805",13
4568,10370,"32.773320703484735,35.17321044139561",15
4569,10350,"32.76811567940903,35.16814487500909",6
4570,10395,"32.76318490063379,35.10108499895312",6
4571,11125,"32.77259285325965,35.10587798465805",7
4572,10385,"32.767343761593594,35.10743905326593",5
4573,19552,"32.947224942795295,35.39408421613356",51
4574,18673,"33.02225857676436,35.19974183285038",6
4575,7901,"32.387435854880714,34.96532758071925",9
4576,18699,"32.983868159740034,35.174850866506866",39
4577,18797,"32.98425439688466,35.18045341444016",38
4578,18890,"32.97469586671214,35.185833715875056",60
4579,13206,"33.26280256023465,35.560109902544504",20
4580,14035,"33.027583122922486,35.4826022807857",17
4581,14058,"33.0253048588225,35.49003622831211",13
4582,2486,"31.53488787853278,34.58379660916233",52
4583,18689,"32.981310295393634,35.157089270304525",54
4584,7903,"32.38426784150025,34.975892731777854",2
4585,13197,"33.192417519450395,35.58446185045761",59
4586,13148,"33.20016202265414,35.57766444804448",60
4587,17239,"32.60850349524937,35.36946094173734",4
4588,13207,"33.255592359326535,35.562235308460316",18
4589,14059,"33.015327331197696,35.492414728511626",6
4590,19553,"32.947023527363875,35.38695579492552",51
4591,18691,"32.98372577754845,35.14706437329133",39
4592,18688,"32.97633678227318,35.155445570208215",60
4593,13071,"32.96213895089663,35.493056513231885",60
4594,18901,"32.93960821917695,35.21500319040124",36
4595,17120,"32.61448470023221,35.33792484838944",18
4596,18903,"32.92872821194342,35.21876850617412",39
4597,14040,"33.013726901674524,35.4732060077852",19
4598,18672,"33.022645935062535,35.19388188345002",5
4599,18676,"33.04302808348418,35.17167346950719",11
4600,18687,"32.98064778794187,35.16620853277395",57
4601,13070,"32.96374736092712,35.49320137391866",60
4602,13194,"32.95813512496358,35.500491378275235",60
4603,16802,"32.6004464286998,35.34326710663715",12
4604,16805,"32.60077597607731,35.332633264502775",13
4605,18906,"32.93582109071637,35.24139427827341",52
4606,8917,"32.22636125775696,35.004672582291036",18
4607,8930,"32.221084297046566,34.9904411830164",32
4608,13169,"33.20915104562092,35.570997686287555",60
4609,13151,"33.193131635808335,35.56588754951672",58
4610,30457,"31.750614113211824,35.18500396406663",48
4611,18902,"32.93391417019264,35.21374456210047",40
4612,17114,"32.6064660605482,35.33259498782589",15
4613,18904,"32.9314520249308,35.23149770094696",42
4614,18669,"33.022626322168946,35.186181097604106",4
4615,17058,"32.61921299811731,35.3988257027445",4
4616,17099,"32.61948485407562,35.40373723429548",4
4617,18698,"32.98577515640362,35.1640091937212",30
4618,13153,"33.18759940307506,35.56983229871787",51
4619,13150,"33.19285598406727,35.572448261022856",60
4620,10391,"32.76052190239294,35.15150405047283",12
4621,18636,"33.02671506659322,35.25825470857937",60
4622,3968,"31.95924085417072,34.87595876665545",60
4623,400932,"31.15332516834,35.069569297676516",0
4624,100085,"31.147994889863067,35.068004054226606",0
4625,18680,"33.064017771881964,35.25489015991175",8
4626,19795,"33.02438135372564,35.26121206079406",60
4627,8314,"32.35185476173921,34.90382392806695",16
4628,18716,"32.991954706208645,35.2351519731662",40
4629,18807,"32.95319365050997,35.2669835524326",28
4630,18681,"33.065139290241795,35.24837985494975",6
4631,18677,"33.04185742204279,35.251042344555785",48
4632,18697,"32.98539162131311,35.1522318286708",32
4633,10356,"32.78556523668506,35.153336700488",51
4634,8349,"32.378565692065564,34.885684055979176",37
4635,17231,"32.60510804821226,35.36167735750417",9
4636,17232,"32.59722078580519,35.36786726889743",4
4637,10362,"32.76165028446974,35.15962854812442",14
4638,7435,"32.06663203380789,34.77618074603761",60
4639,14270,"33.030046047212416,35.47725608040351",26
4640,10382,"32.76818965688335,35.142286790566324",3
4641,17233,"32.598422938380764,35.36110084963943",7
4642,10349,"32.76353187451366,35.16786425395308",12
4643,17116,"32.606628083984006,35.340631027627346",14
4644,1432,"31.601355330903942,34.518079439960246",2
4645,1431,"31.599561506680892,34.53362371993995",5
4646,1434,"31.6031109034666,34.506702646256784",2
4647,1430,"31.60150462861225,34.52885274906324",2
4648,17102,"32.616633142879294,35.41092926020946",5
4649,17107,"32.599447585039826,35.41865366864874",5
4650,17106,"32.6010410410166,35.40982031062834",5
4651,17104,"32.60601607746162,35.41879074663345",6
4652,17105,"32.608816189146154,35.40895904966838",5
4653,10113,"32.45166189135296,34.97702302242921",60
4654,10352,"32.774444187898,35.16437369506111",17
4655,10577,"32.41362199655595,34.8900502316626",60
4656,10353,"32.778014624617654,35.15633892320403",38
4657,10357,"32.78750958531007,35.14691138982318",50
4658,1422,"31.594822430381033,34.54170120663954",5
4659,1777,"31.57013579252859,34.52979469583617",1
4660,18911,"32.94957093857964,35.23428375230673",19
4661,13098,"32.97542068166036,35.49734633210008",60
4662,18682,"33.048343659571565,35.18039877316174",15
4663,10327,"32.793488196430715,35.152416966652545",52
4664,17118,"32.61060716999567,35.33663034621217",16
4665,13152,"33.18752638443069,35.56284003744186",50
4666,1776,"31.585740993715337,34.510535623068385",2
4667,17080,"32.631364029334,35.391810161033604",5
4668,17056,"32.62383687757448,35.394787977459565",4
4669,10317,"32.76379460211149,35.18293776648928",9
4670,10355,"32.78855404869034,35.158202990704524",51
4671,12183,"32.74115703067565,35.17211337175628",18
4672,17121,"32.610597948857134,35.35062401898962",14
4673,22740,"32.57147366735391,35.50608752679412",0
4674,17052,"32.61556322773264,35.39298510172228",3
4675,17053,"32.614405959258164,35.39277583256208",3
4676,6474,"32.00044557855016,34.88111234971128",60
4677,5032,"31.993868201812724,34.75010762213377",60
4678,19374,"32.870262986964185,35.33935662477954",57
4679,18627,"33.032507008149274,35.25059308081581",60
4680,18628,"33.03282559106426,35.255389651954815",60
4681,19266,"32.86999271201716,35.32908862238212",55
4682,5443,"32.09524986335282,34.98086920148325",60
4683,5557,"32.08745235865688,34.983441769571776",56
4684,14173,"33.046275244011156,35.487375636796195",10
4685,14310,"33.056559903309264,35.48668830194603",10
4686,14174,"33.05267646259563,35.484104453040814",10
4687,6687,"32.03576109635244,34.877664970568645",60
4688,8221,"32.3096898951889,34.8932387356896",60
4689,18635,"33.024879287145446,35.25771850513243",60
4690,19183,"32.94455106129097,35.34422785202592",60
4691,5704,"31.95232153921073,34.92546898228842",47
4692,4067,"31.954300845010845,34.92862722988807",36
4693,8045,"32.26763391174331,35.033447699197474",32
4694,18606,"33.04176033323061,35.204684028409886",6
4695,19329,"32.80527008856076,35.30269449274027",5
4696,17054,"32.61290432843284,35.392201695543",3
4697,6499,"32.036506742199556,34.87337901626245",60
4698,19378,"32.8636232112906,35.3315540136929",53
4699,19176,"32.948912169738,35.334175348256814",60
4700,18604,"33.04796150648434,35.1948889829071",5
4701,18603,"33.05339603384232,35.1950342309461",4
4702,19239,"32.8064154168372,35.307656207387296",6
4703,6475,"32.00595637082036,34.88262714996533",60
4704,8145,"32.320809302635816,34.91821541179508",39
4705,14175,"33.050455547164646,35.48313251331583",10
4706,19177,"32.94359877377121,35.33251309244247",56
4707,19168,"32.933449443418695,35.35219673772265",53
4708,17055,"32.6132645463145,35.390434358113296",3
4709,6477,"32.01313821766881,34.87913011304627",60
4710,19265,"32.87976497009742,35.33313740914899",49
4711,17078,"32.6422526138008,35.39931103686091",4
4712,17079,"32.63730290486084,35.39465751871042",5
4713,14184,"33.048841500674285,35.48617009935401",10
4714,16904,"32.68406085446888,35.32067528100662",60
4715,11639,"32.81608952579103,35.041314370100075",60
4716,8046,"32.27151405313791,35.02610762475197",33
4717,17060,"32.61088551927667,35.38825788035358",3
4718,18852,"32.902268004453155,35.37572881626116",15
4719,17061,"32.61005917200755,35.39497339449816",3
4720,17063,"32.60246706267643,35.39360365495054",2
4721,17062,"32.610941723765286,35.401550701335566",3
4722,8146,"32.32351269570353,34.91360710296422",32
4723,30831,"31.777710343384737,35.224403202885895",60
4724,18630,"33.029277626164934,35.259206492556075",60
4725,18631,"33.02726370641731,35.262572062871605",60
4726,18637,"33.02620145113507,35.260546132226295",60
4727,18434,"33.01689330465216,35.26919925955318",60
4728,8075,"32.26064723459941,35.03594687494873",27
4729,8074,"32.270482168755734,35.016442283762444",47
4730,8114,"32.33357368359744,34.92812630929534",31
4731,18612,"33.05635951724516,35.22688555465744",6
4732,8133,"32.3303951673115,34.93183700056858",34
4733,14177,"33.04565035075977,35.481587855202925",17
4734,19169,"32.93553836279126,35.34863549659145",60
4735,19360,"32.79555749040369,35.31221114833707",5
4736,8113,"32.32893240970293,34.91805900961604",36
4737,17065,"32.59946331337093,35.379046845479174",2
4738,31347,"31.77851466751923,35.22533365822113",60
4739,13909,"32.94809088816907,35.472891351566204",60
4740,18611,"33.05200199083279,35.22259063068465",12
4741,8134,"32.33545340242869,34.917366051388036",35
4742,14171,"33.058334244335306,35.474371508379065",11
4743,5504,"32.08122967088455,34.97932567337617",34
4744,14178,"33.04818773158188,35.49651922764637",10
4745,14176,"33.05010766629402,35.488589579051244",10
4746,19793,"33.024433400444416,35.25977132012045",60
4747,8047,"32.27381817121248,35.02047688033015",35
4748,19257,"32.89187277239237,35.35089000197773",8
4749,17066,"32.59586796527273,35.385111780515146",4
4750,8138,"32.32015208854828,34.910345743578404",40
4751,31348,"31.77810112835016,35.224659223561474",60
4752,39205,"30.98656845039014,35.41645784594788",0
4753,39203,"30.967273319619416,35.416850160610274",0
4754,19292,"32.864418935747935,35.32458169228659",60
4755,13055,"32.96957594110391,35.492006601960874",60
4756,13054,"32.97121817026168,35.4920985666129",60
4757,19186,"32.9287925787815,35.33742334724131",60
4758,13911,"32.93704544015121,35.4629975295191",17
4759,18608,"33.04894149636307,35.21566196039045",6
4760,19359,"32.79456937081471,35.30208775314293",5
4761,8112,"32.335121172864724,34.92201142605523",30
4762,19167,"32.9344762234677,35.34218258419581",60
4763,13910,"32.935435812651725,35.47044885454547",11
4764,18601,"33.04964030324748,35.175491539453695",23
4765,18609,"33.04918796921195,35.207625947287625",7
4766,19261,"32.89312888668783,35.36338053140568",8
4767,18602,"33.05234427037981,35.183914181701134",5
4768,8058,"32.24296966149427,34.95107882258331",60
4769,19400,"32.87512257058,35.34802101648378",38
4770,8073,"32.25265482075013,34.933126492076966",60
4771,6480,"32.01428604870629,34.863434388550544",60
4772,19264,"32.882913689511085,35.345403956828164",33
4773,8139,"32.32761130855762,34.90960977242338",35
4774,17059,"32.612783070036635,35.3832803035867",5
4775,18600,"33.04180732225416,35.17962854032377",8
4776,18995,"32.899267091056814,35.31075346350608",60
4777,13081,"32.972575398584254,35.49757714229806",60
4778,17064,"32.6046998467784,35.376428248962014",4
4779,7845,"32.25409892597342,35.02914859250826",39
4780,19324,"32.86043040249645,35.31885622152866",60
4781,17057,"32.622125076771326,35.39118581274244",4
4782,8061,"32.269265452873896,34.975456656153355",53
4783,17051,"32.615277681644606,35.391162851998445",3
4784,13082,"32.9732203031767,35.49283819577465",60
4785,8044,"32.25824221839048,35.03114473213794",38
4786,6686,"32.033230669082776,34.87564933014109",60
4787,12787,"32.73707747330699,34.962531399730466",34
4788,6187,"32.07265186840409,34.83753347620401",60
4789,19481,"33.0376728034299,35.353983758012255",18
4790,11792,"32.628448616055934,34.97400036603196",5
4791,5549,"31.961590640832195,34.86949726235525",60
4792,4229,"31.96260349879761,34.861188766717454",60
4793,10761,"32.79947550256493,34.974647672503565",60
4794,38071,"31.254848488727493,34.789857172819346",60
4795,38021,"31.256401771323937,34.78111891926106",60
4796,10765,"32.79638193646686,34.98265593802709",60
4797,10760,"32.79880207542226,34.97915901877685",60
4798,2400,"31.781947769095037,34.64618491148656",60
4799,11795,"32.628310718683686,34.9835622923832",5
4800,10773,"32.792517451803214,34.98804919330934",60
4801,14164,"33.00824323647702,35.370433112875794",15
4802,19573,"32.99841928284967,35.37439689317014",15
4803,19525,"32.99439207007888,35.35947622324535",33
4804,10736,"32.79792034627104,34.97083972553055",60
4805,13525,"33.17685492847851,35.54151701044406",19
4806,13521,"33.16694170017718,35.54190721475322",10
4807,13519,"33.1616011375372,35.53813808928467",4
4808,13516,"33.15443119060339,35.53627074785352",6
4809,23207,"32.598024827721,35.436007265728904",2
4810,7070,"32.02899744944121,34.77040809674286",60
4811,11739,"32.729341676720935,35.017008982585814",6
4812,19225,"32.9616165406708,35.31050043106095",22
4813,20914,"32.42526040614219,35.434685685724496",0
4814,20915,"32.43109067000046,35.44405978827368",0
4815,18988,"32.912636452507705,35.30223338909567",60
4816,4226,"31.969506530051888,34.85933422435024",50
4817,38101,"31.25663655295568,34.77749945913193",60
4818,38020,"31.25632963366793,34.7855149241375",60
4819,10779,"32.787355061827455,34.98278095964267",60
4820,13460,"33.245550746034326,35.57052389685753",17
4821,10558,"32.68178598945115,34.96732975683387",17
4822,4228,"31.967349477180193,34.86623281280948",60
4823,38128,"31.25952831751436,34.78417040332108",60
4824,38057,"31.253291391666504,34.786145380951154",60
4825,15652,"32.87881673297598,35.56798173417721",7
4826,15650,"32.88364522948914,35.57580443697386",7
4827,20913,"32.42419145506053,35.44949399836072",2
4828,20926,"32.45892437355935,35.4621192333923",7
4829,11793,"32.631121012257125,34.97184378229086",5
4830,15653,"32.87632138699052,35.55483604896663",7
4831,10766,"32.79364331101408,34.983136005469504",60
4832,23210,"32.59156336094606,35.449334177637596",3
4833,23211,"32.585463193760795,35.443423264133834",3
4834,20893,"32.42289355610077,35.460308596097704",5
4835,18994,"32.898239760011734,35.29329979017667",60
4836,10738,"32.801672598276966,34.962871106659776",60
4837,38085,"31.26040365344249,34.78911480806466",60
4838,11740,"32.7215904393059,35.00918127560139",12
4839,10739,"32.79889105372331,34.959749875943174",60
4840,7820,"32.27353911418548,34.94192144658572",48
4841,38218,"31.260837189013316,35.211981545061015",39
4842,10743,"32.80815899712616,34.96015167167854",60
4843,20922,"32.466459341577576,35.466238958870015",15
4844,10566,"32.66864915629078,34.945887793069765",6
4845,10565,"32.6699783560904,34.9416159605502",6
4846,20924,"32.50295058977889,35.44144145239327",5
4847,10775,"32.79163112989569,34.979394948476234",60
4848,10776,"32.79038960185202,34.97720214318448",60
4849,23217,"32.60901583222511,35.42632031244064",5
4850,20910,"32.43935032725254,35.46826522849632",5
4851,19469,"33.02918418435271,35.35349808715908",18
4852,10677,"32.75821971666756,34.97058289641065",56
4853,10552,"32.72447069497704,34.955256465536266",13
4854,19524,"32.98717273471389,35.363914153145984",42
4855,23209,"32.600237988034245,35.456412407988786",3
4856,23208,"32.60874562518233,35.45674498056516",3
4857,20916,"32.4341366925397,35.431030921626416",0
4858,20917,"32.44249811927886,35.42996992846888",0
4859,20919,"32.53074943845895,35.348896070501354",5
4860,20927,"32.458630187796416,35.45404768088297",6
4861,11794,"32.633959459314575,34.97421494915576",3
4862,18781,"32.95982673405139,35.118753715649945",17
4863,20912,"32.43329882856613,35.45777229489722",5
4864,20911,"32.42952661201916,35.4626501535162",5
4865,20372,"32.47572097726941,35.08193658638725",37
4866,38256,"31.262555446263956,35.2108963982541",39
4867,10764,"32.79542903829147,34.97836450143681",60
4868,4225,"31.968966612287847,34.84771536573408",40
4869,20928,"32.443769886259005,35.442353348066376",0
4870,10763,"32.79680732019451,34.97341170099359",60
4871,11737,"32.727527420717735,34.99884728283153",5
4872,11787,"32.627959179519515,34.9683317131006",5
4873,19486,"33.022782201908875,35.36789401563133",19
4874,19504,"32.97261162755058,35.36109895842703",40
4875,38257,"31.264262855829738,35.207508203094804",38
4876,19538,"32.98701750634223,35.37249617274524",32
4877,38209,"31.25796344571927,35.20580019183891",38
4878,11738,"32.72980946081163,35.00492621411511",7
4879,11772,"32.67501941199642,34.9539756834123",11
4880,19483,"33.05234855562967,35.355677060769985",11
4881,11774,"32.74056958956585,35.03096581905468",40
4882,11777,"32.73881137954236,35.022166954613716",23
4883,11775,"32.73250186101474,35.027180441119704",29
4884,11776,"32.73181672965908,35.018536695466956",7
4885,23215,"32.58756449528239,35.424519095051416",6
4886,19484,"33.04763329986126,35.36476217247696",6
4887,13512,"33.14619670255619,35.531885846346604",7
4888,23216,"32.598957500406165,35.42569205243",5
4889,100425,"31.389862756123552,34.739705185717376",60
4890,5990,"31.98743112229609,34.86315858754516",25
4891,100426,"31.392736128590805,34.739485685349436",60
4892,8873,"32.126031057219286,34.958919437905045",60
4893,30448,"31.80746908284265,35.15206983517151",53
4894,19745,"33.09802046277262,35.220893733973476",1
4895,19744,"33.09586253060902,35.214522445346496",4
4896,7553,"32.19475349693462,34.95755053884103",60
4897,19834,"33.08046515793767,35.28339943706193",9
