gush_number,school_gan,education_type,ethnicity,religious or not
11317,3,M,J,2
11320,1,M,J,2
11324,1,M,J,2
11372,2,M,J,2
11373,3,M,J,2
11377,3,M,J,2
11384,3,M,J,2
11388,2,M,J,2
11393,1,M,J,2
11394,7,M,J,2
11395,1,M,J,2
11400,1,M,J,2
11411,4,M,J,2
11415,2,M,J,2
11423,2,M,J,2
11438,2,M,J,2
11450,2,H,J,4
11467,2,M,J,2
11502,1,O,O,0
11506,13,O,O,0
11508,1,O,O,0
11509,5,O,O,0
11519,2,O,O,0
11529,1,M,J,2
11531,1,M,J,2
11534,4,M,J,2
11535,3,M,J,2
11538,1,M,J,2
11539,2,M,J,2
11543,1,H,J,4
11546,1,M,J,2
11550,1,M,J,2
11553,1,H,J,4
11554,3,M,J,2
11555,4,M,J,2
11561,2,M,J,2
11562,1,M,J,2
11563,4,M,J,2
11564,1,M,J,2
11566,3,H,J,4
11567,7,M,J,2
11569,1,H,J,4
11571,5,M,J,2
11575,1,M,J,2
11576,1,M,J,2
11577,3,M,J,2
11580,5,M,J,2
11581,6,M,J,2
11582,1,H,J,4
11583,3,M,J,2
11584,1,M,J,2
11585,4,M,J,2
11586,1,M,J,2
11589,7,M,J,2
11590,2,M,J,2
11612,1,M,J,2
11620,1,M,J,2
11640,1,M,J,2
11661,1,M,J,2
11679,2,A,A,1
11681,1,M,J,2
11695,2,A,A,1
11738,1,M,J,2
11742,1,H,J,4
11750,1,M,J,2
11770,2,mixed,J,3
11772,3,M,J,2
11796,2,M,J,2
11806,2,H,J,4
11839,1,M,J,2
11879,3,M,J,2
11880,1,H,J,4
11900,1,M,J,2
11947,1,M,J,2
11956,1,A,A,1
11984,1,M,J,2
12005,1,M,J,2
12049,2,M,J,2
12060,5,M,J,2
12088,2,M,J,2
12089,6,M,J,2
12090,2,M,J,2
12124,8,A,A,1
12125,5,A,A,1
12126,1,A,A,1
12127,5,A,A,1
12128,2,A,A,1
12129,6,A,A,1
12134,3,A,A,1
12136,1,A,A,1
12148,5,A,A,1
12156,1,A,A,1
12157,1,A,A,1
12158,1,A,A,1
12165,3,A,A,1
12166,6,A,A,1
12170,37,A,A,1
12172,1,A,A,1
12173,1,A,A,1
12176,4,A,A,1
12191,2,M,J,2
12194,3,M,J,2
12205,2,A,A,1
12207,1,A,A,1
12217,1,O,O,0
12225,2,H,J,4
12226,1,M,J,2
12245,3,M,J,2
12249,2,M,J,2
12256,1,M,J,2
12263,4,M,J,2
12286,2,M,J,2
12310,4,H,J,4
12319,2,M,J,2
12323,1,O,O,0
12341,2,M,J,2
12351,3,M,J,2
12367,2,M,J,2
12371,2,M,J,2
12377,2,mixed,J,3
12378,2,M,J,2
12379,2,M,J,2
12380,1,A,A,1
12381,3,M,J,2
12398,3,M,J,2
12419,1,M,J,2
12423,1,M,J,2
12430,2,M,J,2
12433,2,M,J,2
12451,1,M,J,2
12461,1,M,J,2
12478,2,mixed,J,3
12487,1,H,J,4
12489,1,H,J,4
12496,3,A,A,1
12508,2,M,J,2
12509,1,M,J,2
12518,1,M,J,2
12540,1,M,J,2
12545,1,H,J,4
12565,6,M,J,2
12566,1,M,J,2
12567,5,M,J,2
12569,6,M,J,2
12570,2,M,J,2
12609,1,A,A,1
12612,2,mixed,J,3
12613,6,mixed,J,3
12614,2,mixed,J,3
12615,1,M,J,2
12670,1,M,J,2
12673,1,M,J,2
12675,2,H,J,4
12679,2,M,J,2
12693,4,H,J,4
12706,1,M,J,2
12713,3,M,J,2
12719,2,M,J,2
12721,2,M,J,2
12728,3,M,J,2
12756,2,M,J,2
12758,1,M,J,2
12760,5,M,J,2
12763,1,A,A,1
12766,2,M,J,2
12771,3,M,J,2
12774,5,M,J,2
12783,2,H,J,4
12784,1,M,J,2
12792,4,M,J,2
12795,4,M,J,2
12797,10,M,J,2
12816,3,M,J,2
13046,2,M,J,2
13048,1,M,J,2
13052,2,H,J,4
13053,6,H,J,4
13055,1,H,J,4
13073,1,M,J,2
13074,4,H,J,4
13075,1,H,J,4
13076,7,H,J,4
13077,3,H,J,4
13086,1,H,J,4
13089,2,mixed,J,3
13093,2,H,J,4
13097,1,M,J,2
13105,1,H,J,4
13106,4,M,J,2
13109,1,H,J,4
13110,1,M,J,2
13126,1,M,J,2
13135,3,M,J,2
13139,1,M,J,2
13145,5,M,J,2
13147,1,M,J,2
13161,2,mixed,J,3
13162,2,H,J,4
13164,1,M,J,2
13167,3,M,J,2
13168,3,H,J,4
13169,1,H,J,4
13183,1,M,J,2
13184,1,M,J,2
13195,1,H,J,4
13196,2,mixed,J,3
13215,3,M,J,2
13218,2,H,J,4
13235,1,M,J,2
13237,1,M,J,2
13247,2,M,J,2
13260,3,H,J,4
13292,2,M,J,2
13299,2,M,J,2
13327,1,M,J,2
13340,1,M,J,2
13356,2,M,J,2
13378,4,M,J,2
13387,2,H,J,4
13388,1,H,J,4
13389,1,H,J,4
13397,2,M,J,2
13414,2,M,J,2
13416,3,M,J,2
13445,2,M,J,2
13449,1,M,J,2
13466,1,M,J,2
13486,1,M,J,2
13492,3,M,J,2
13499,2,M,J,2
13546,1,M,J,2
13552,1,M,J,2
13553,1,H,J,4
13603,1,H,J,4
13612,3,H,J,4
13619,1,M,J,2
13655,1,M,J,2
13675,2,mixed,J,3
13676,2,H,J,4
13677,1,M,J,2
13688,3,H,J,4
13776,2,mixed,J,3
13784,3,M,J,2
13796,1,H,J,4
13836,2,M,J,2
13846,1,H,J,4
13854,1,H,J,4
13855,3,H,J,4
13856,3,M,J,2
13868,1,A,A,1
13894,3,H,J,4
13895,4,M,J,2
13902,1,H,J,4
13912,2,M,J,2
13922,2,M,J,2
13925,1,M,J,2
13946,1,M,J,2
13962,4,M,J,2
13964,1,H,J,4
13965,1,H,J,4
13979,5,H,J,4
13985,2,M,J,2
13989,1,M,J,2
13994,2,M,J,2
13995,1,H,J,4
14006,1,M,J,2
14026,1,M,J,2
14059,2,H,J,4
14076,1,M,J,2
14084,2,mixed,J,3
14107,5,A,A,1
14109,1,A,A,1
14145,1,A,A,1
14148,1,O,O,0
14149,14,O,O,0
14150,1,O,O,0
14157,1,M,J,2
14166,6,H,J,4
14175,2,O,O,0
14176,1,O,O,0
14185,1,M,J,2
14191,1,M,J,2
14206,1,M,J,2
14207,1,M,J,2
14224,2,M,J,2
14235,1,H,J,4
14240,1,M,J,2
14267,1,H,J,4
14283,3,M,J,2
14311,3,H,J,4
14339,1,H,J,4
14395,1,M,J,2
14453,1,H,J,4
14456,2,H,J,4
14622,1,H,J,4
14670,3,H,J,4
14676,1,H,J,4
14688,4,H,J,4
15001,2,M,J,2
15002,1,M,J,2
15030,1,H,J,4
15034,6,mixed,J,3
15035,1,H,J,4
15036,3,H,J,4
15037,5,M,J,2
15038,1,M,J,2
15040,2,mixed,J,3
15042,2,mixed,J,3
15054,1,H,J,4
15062,4,M,J,2
15063,3,M,J,2
15077,1,M,J,2
15079,5,M,J,2
15097,1,H,J,4
15102,2,M,J,2
15107,2,M,J,2
15116,1,M,J,2
15126,1,M,J,2
15141,1,M,J,2
15159,1,M,J,2
15162,3,M,J,2
15166,3,M,J,2
15168,2,M,J,2
15172,5,H,J,4
15174,2,M,J,2
15177,1,H,J,4
15178,3,M,J,2
15232,2,H,J,4
15233,1,H,J,4
15241,1,M,J,2
15282,5,M,J,2
15284,7,M,J,2
15285,2,H,J,4
15287,9,H,J,4
15288,1,H,J,4
15289,1,M,J,2
15308,1,M,J,2
15316,2,H,J,4
15323,1,M,J,2
15328,3,H,J,4
15334,2,O,O,0
15342,2,M,J,2
15421,1,M,J,2
15437,1,M,J,2
15443,1,M,J,2
15465,4,O,O,0
15473,2,mixed,J,3
15510,2,M,J,2
15525,2,M,J,2
15547,1,M,J,2
15553,3,M,J,2
15556,1,H,J,4
15558,1,O,O,0
15566,2,O,O,0
15609,1,O,O,0
15619,3,O,O,0
15633,2,M,J,2
15636,2,H,J,4
15637,1,M,J,2
15668,2,mixed,J,3
15707,1,M,J,2
15714,1,M,J,2
15715,1,M,J,2
15718,1,M,J,2
15723,2,M,J,2
15745,2,M,J,2
15754,5,O,O,0
15768,2,M,J,2
15771,2,H,J,4
15785,2,M,J,2
15791,1,H,J,4
15792,4,H,J,4
15793,1,M,J,2
16089,2,mixed,J,3
16097,3,H,J,4
16501,2,A,A,1
16503,2,A,A,1
16505,1,A,A,1
16507,2,A,A,1
16508,2,A,A,1
16510,2,A,A,1
16513,5,A,A,1
16519,1,A,A,1
16522,4,A,A,1
16524,45,A,A,1
16529,2,A,A,1
16531,3,A,A,1
16532,6,A,A,1
16534,15,A,A,1
16535,2,A,A,1
16539,1,A,A,1
16541,1,A,A,1
16543,2,A,A,1
16555,1,H,J,4
16557,1,A,A,1
16562,1,A,A,1
16564,5,A,A,1
16565,1,A,A,1
16568,1,A,A,1
16571,2,A,A,1
16572,4,M,J,2
16577,1,A,A,1
16578,14,A,A,1
16579,2,A,A,1
16582,1,A,A,1
16587,3,H,J,4
16590,8,O,O,0
16607,3,A,A,1
16624,2,A,A,1
16632,2,A,A,1
16635,4,A,A,1
16641,3,A,A,1
16642,22,A,A,1
16649,2,M,J,2
16650,3,M,J,2
16652,1,M,J,2
16654,2,M,J,2
16657,2,M,J,2
16658,2,M,J,2
16659,3,H,J,4
16660,6,mixed,J,3
16662,2,H,J,4
16663,1,H,J,4
16681,1,M,J,2
16682,4,mixed,J,3
16690,1,M,J,2
16691,2,M,J,2
16692,3,M,J,2
16694,1,H,J,4
16701,1,M,J,2
16702,2,H,J,4
16704,1,M,J,2
16707,2,mixed,J,3
16712,1,H,J,4
16716,1,M,J,2
16738,6,M,J,2
16739,1,M,J,2
16741,2,M,J,2
16756,2,A,A,1
16758,2,H,J,4
16761,3,M,J,2
16762,2,M,J,2
16774,3,M,J,2
16789,4,M,J,2
16801,1,M,J,2
16811,1,M,J,2
16824,6,O,O,0
16874,9,A,A,1
16875,6,A,A,1
16876,1,A,A,1
16877,2,A,A,1
16878,1,A,A,1
16879,2,A,A,1
16880,4,A,A,1
16884,4,A,A,1
16891,2,M,J,2
16901,1,A,A,1
16904,28,A,A,1
16905,3,A,A,1
16917,3,A,A,1
16938,1,A,A,1
16941,2,A,A,1
16948,3,A,A,1
16963,1,A,A,1
16971,1,A,A,1
16995,2,O,O,0
17037,7,M,J,2
17049,2,M,J,2
17051,4,A,A,1
17056,1,A,A,1
17093,1,M,J,2
17109,3,A,A,1
17112,1,A,A,1
17114,5,A,A,1
17118,1,A,A,1
17119,1,M,J,2
17120,1,M,J,2
17125,5,O,O,0
17130,1,O,O,0
17133,1,O,O,0
17156,1,O,O,0
17157,1,O,O,0
17158,7,O,O,0
17166,1,O,O,0
17177,1,O,O,0
17178,2,M,J,2
17188,2,mixed,J,3
17197,3,M,J,2
17200,6,A,A,1
17202,1,A,A,1
17203,1,M,J,2
17204,1,M,J,2
17214,2,M,J,2
17216,1,O,O,0
17217,1,O,O,0
17219,1,O,O,0
17235,2,A,A,1
17252,2,M,J,2
17286,3,M,J,2
17287,2,M,J,2
17288,2,M,J,2
17296,1,M,J,2
17307,3,M,J,2
17333,1,H,J,4
17335,2,M,J,2
17343,3,H,J,4
17344,2,H,J,4
17357,9,H,J,4
17370,2,mixed,J,3
17377,4,H,J,4
17385,1,A,A,1
17393,1,A,A,1
17395,1,A,A,1
17398,2,A,A,1
17427,2,M,J,2
17443,2,H,J,4
17445,1,H,J,4
17450,2,mixed,J,3
17455,1,M,J,2
17457,2,H,J,4
17465,2,A,A,1
17472,5,A,A,1
17476,2,O,O,0
17480,1,O,O,0
17482,5,O,O,0
17484,9,A,A,1
17486,2,A,A,1
17490,3,O,O,0
17495,4,O,O,0
17499,4,O,O,0
17502,1,O,O,0
17511,3,A,A,1
17519,2,A,A,1
17521,1,A,A,1
17523,23,A,A,1
17524,2,A,A,1
17528,1,M,J,2
17531,2,M,J,2
17540,5,O,O,0
17543,5,O,O,0
17544,1,O,O,0
17547,1,O,O,0
17550,3,H,J,4
17556,2,O,O,0
17559,1,A,A,1
17564,1,A,A,1
17566,1,A,A,1
17572,2,A,A,1
17573,44,A,A,1
17581,3,O,O,0
17585,2,O,O,0
17593,3,M,J,2
17614,2,M,J,2
17648,2,O,O,0
17650,2,M,J,2
17656,6,O,O,0
17667,5,H,J,4
17670,3,M,J,2
17681,4,M,J,2
17687,1,A,A,1
17689,1,A,A,1
17694,10,A,A,1
17697,4,M,J,2
17699,2,M,J,2
17704,1,M,J,2
17706,1,M,J,2
17723,1,M,J,2
17734,2,M,J,2
17735,1,H,J,4
17746,1,M,J,2
17747,2,M,J,2
17748,1,A,A,1
17749,1,M,J,2
17750,2,mixed,J,3
17755,2,M,J,2
17763,2,M,J,2
17764,1,M,J,2
17766,4,M,J,2
17767,1,M,J,2
17768,1,H,J,4
17770,3,H,J,4
17771,2,M,J,2
17772,1,H,J,4
17773,1,M,J,2
17776,1,M,J,2
17778,1,M,J,2
17780,2,M,J,2
17784,5,M,J,2
17785,1,M,J,2
17801,5,H,J,4
17803,4,H,J,4
17805,4,M,J,2
17806,4,H,J,4
17809,3,H,J,4
17819,2,M,J,2
17820,2,M,J,2
17821,4,M,J,2
17822,4,mixed,J,3
17823,1,M,J,2
17832,2,H,J,4
17833,5,M,J,2
17834,4,mixed,J,3
17835,4,H,J,4
17836,1,M,J,2
17837,2,M,J,2
17838,1,M,J,2
17846,2,M,J,2
17854,3,M,J,2
17856,1,M,J,2
17858,4,M,J,2
17859,1,M,J,2
17864,2,M,J,2
17889,2,M,J,2
18001,1,M,J,2
18004,4,A,A,1
18005,2,mixed,J,3
18007,2,A,A,1
18008,6,A,A,1
18016,3,A,A,1
18017,3,A,A,1
18018,4,O,O,0
18020,3,H,J,4
18021,1,M,J,2
18033,1,M,J,2
18035,2,H,J,4
18043,5,M,J,2
18051,1,M,J,2
18056,2,H,J,4
18097,2,M,J,2
18103,2,mixed,J,3
18104,2,H,J,4
18105,1,H,J,4
18106,5,M,J,2
18107,4,M,J,2
18108,3,M,J,2
18110,2,M,J,2
18112,7,M,J,2
18115,1,M,J,2
18133,2,M,J,2
18135,6,M,J,2
18136,1,M,J,2
18138,1,A,A,1
18146,4,mixed,J,3
18148,6,H,J,4
18149,1,M,J,2
18150,1,H,J,4
18161,11,M,J,2
18162,1,M,J,2
18165,2,mixed,J,3
18166,9,M,J,2
18167,2,M,J,2
18168,2,M,J,2
18170,1,M,J,2
18171,1,M,J,2
18172,3,H,J,4
18174,8,M,J,2
18175,4,M,J,2
18177,4,mixed,J,3
18182,3,M,J,2
18207,1,M,J,2
18208,6,M,J,2
18209,7,M,J,2
18212,2,M,J,2
18214,2,M,J,2
18217,2,M,J,2
18243,2,A,A,1
18244,5,A,A,1
18326,1,M,J,2
18328,1,M,J,2
18329,2,M,J,2
18330,1,H,J,4
18367,3,M,J,2
18375,1,M,J,2
18376,2,M,J,2
18407,2,M,J,2
18410,4,M,J,2
18420,3,M,J,2
18429,2,H,J,4
18441,1,O,O,0
18457,2,M,J,2
18484,1,H,J,4
18485,2,mixed,J,3
18486,1,H,J,4
18510,2,H,J,4
18517,1,H,J,4
18521,4,M,J,2
18525,13,A,A,1
18530,3,A,A,1
18538,3,H,J,4
18542,18,A,A,1
18548,2,A,A,1
18550,2,mixed,J,3
18559,3,M,J,2
18563,1,A,A,1
18564,1,A,A,1
18565,2,A,A,1
18579,2,A,A,1
18581,1,A,A,1
18583,1,A,A,1
18584,1,A,A,1
18587,1,A,A,1
18595,1,H,J,4
18597,1,H,J,4
18598,1,M,J,2
18615,1,H,J,4
18619,1,M,J,2
18639,1,A,A,1
18640,1,A,A,1
18674,3,A,A,1
18675,1,M,J,2
18682,2,H,J,4
18687,2,H,J,4
18726,3,O,O,0
18731,7,O,O,0
18739,1,H,J,4
18750,1,O,O,0
18764,3,A,A,1
18767,1,A,A,1
18775,1,H,J,4
18776,2,H,J,4
18783,1,M,J,2
18789,2,O,O,0
18795,1,O,O,0
18799,2,M,J,2
18801,2,A,A,1
18813,1,A,A,1
18818,2,A,A,1
18822,1,A,A,1
18839,13,A,A,1
18855,1,O,O,0
18859,1,M,J,2
18876,7,A,A,1
18884,1,M,J,2
18887,2,O,O,0
18898,3,O,O,0
18899,17,O,O,0
18907,1,M,J,2
18909,1,M,J,2
18920,2,O,O,0
18922,1,O,O,0
18924,1,O,O,0
18925,2,O,O,0
18926,1,O,O,0
18928,1,O,O,0
18933,2,O,O,0
18934,1,O,O,0
18935,3,O,O,0
18947,2,M,J,2
18958,2,M,J,2
18967,1,A,A,1
18970,9,A,A,1
18971,5,A,A,1
18975,3,A,A,1
18986,1,M,J,2
18988,2,M,J,2
18990,3,M,J,2
18997,5,H,J,4
18998,3,M,J,2
18999,1,M,J,2
19000,1,M,J,2
19009,4,M,J,2
19015,2,M,J,2
19016,1,H,J,4
19017,1,H,J,4
19021,2,H,J,4
19022,2,M,J,2
19023,1,M,J,2
19042,1,M,J,2
19050,1,A,A,1
19051,2,A,A,1
19054,4,A,A,1
19056,29,A,A,1
19061,2,H,J,4
19062,6,M,J,2
19063,3,H,J,4
19067,3,M,J,2
19068,2,M,J,2
19071,3,M,J,2
19079,1,H,J,4
19088,1,M,J,2
19092,2,O,O,0
19093,1,O,O,0
19098,7,O,O,0
19100,2,O,O,0
19126,1,A,A,1
19128,31,A,A,1
19160,2,H,J,4
19162,1,M,J,2
19164,2,M,J,2
19173,1,O,O,0
19180,1,O,O,0
19200,1,O,O,0
19203,6,O,O,0
19209,18,A,A,1
19222,1,M,J,2
19225,10,O,O,0
19229,1,O,O,0
19230,1,O,O,0
19231,3,O,O,0
19253,2,O,O,0
19255,3,M,J,2
19261,1,O,O,0
19263,2,M,J,2
19271,3,A,A,1
19279,1,A,A,1
19281,1,A,A,1
19282,1,A,A,1
19314,1,A,A,1
19319,1,A,A,1
19321,2,A,A,1
19346,1,A,A,1
19383,59,A,A,1
19385,2,A,A,1
19396,1,M,J,2
19398,3,M,J,2
19412,1,A,A,1
19418,1,A,A,1
19428,2,A,A,1
19438,1,M,J,2
19441,2,M,J,2
19482,1,M,J,2
19487,1,O,O,0
19489,11,O,O,0
19503,2,O,O,0
19506,22,O,O,0
19512,1,O,O,0
19517,1,O,O,0
19580,1,A,A,1
19607,1,A,A,1
19608,15,A,A,1
19609,1,A,A,1
19610,1,A,A,1
19635,2,M,J,2
19639,1,M,J,2
19691,1,A,A,1
19704,1,M,J,2
19727,1,M,J,2
19730,2,A,A,1
19732,14,A,A,1
19733,1,A,A,1
19735,2,M,J,2
19738,2,M,J,2
19742,3,O,O,0
19758,1,O,O,0
19759,3,H,J,4
19786,1,M,J,2
19790,2,M,J,2
19799,3,M,J,2
19804,2,M,J,2
19816,2,M,J,2
19820,2,M,J,2
19840,1,H,J,4
19845,1,M,J,2
19866,1,H,J,4
19870,1,M,J,2
19871,1,M,J,2
19872,12,M,J,2
19873,4,M,J,2
19874,5,H,J,4
19883,1,M,J,2
19888,2,M,J,2
19890,1,A,A,1
19901,1,H,J,4
19914,6,M,J,2
19916,1,M,J,2
19919,2,H,J,4
19920,2,M,J,2
19922,1,M,J,2
19924,1,H,J,4
19931,2,M,J,2
19936,2,M,J,2
19945,1,M,J,2
19959,1,M,J,2
19966,2,M,J,2
20013,1,A,A,1
20015,9,A,A,1
20038,1,M,J,2
20039,1,M,J,2
20251,1,M,J,2
20279,3,M,J,2
20300,1,A,A,1
20302,5,A,A,1
20304,4,A,A,1
20305,1,A,A,1
20311,7,A,A,1
20312,3,A,A,1
20313,1,A,A,1
20314,1,A,A,1
20315,1,A,A,1
20324,3,A,A,1
20327,1,A,A,1
20329,9,A,A,1
20331,2,A,A,1
20339,8,A,A,1
20340,18,A,A,1
20341,3,A,A,1
20343,1,A,A,1
20344,1,A,A,1
20353,1,A,A,1
20356,11,A,A,1
20357,4,A,A,1
20362,1,M,J,2
20369,2,H,J,4
20372,14,A,A,1
20382,1,A,A,1
20385,1,M,J,2
20395,1,M,J,2
20400,10,A,A,1
20401,1,A,A,1
20405,8,A,A,1
20406,7,A,A,1
20408,8,A,A,1
20409,6,A,A,1
20410,6,A,A,1
20411,2,A,A,1
20412,2,A,A,1
20413,1,A,A,1
20418,3,A,A,1
20419,3,A,A,1
20434,1,A,A,1
20435,4,A,A,1
20456,1,M,J,2
20462,1,M,J,2
20463,2,M,J,2
20538,2,M,J,2
20543,5,A,A,1
20569,1,H,J,4
20715,3,A,A,1
20716,1,A,A,1
20718,1,A,A,1
20734,1,M,J,2
20735,1,M,J,2
20748,1,H,J,4
20751,1,H,J,4
20753,1,H,J,4
20766,1,M,J,2
20768,3,H,J,4
20775,3,M,J,2
20782,2,M,J,2
20785,1,H,J,4
20786,1,H,J,4
20855,1,M,J,2
20857,6,M,J,2
20881,3,H,J,4
20883,3,H,J,4
20907,1,H,J,4
20958,1,M,J,2
20963,2,M,J,2
20968,2,M,J,2
20984,1,M,J,2
20987,2,M,J,2
21065,2,M,J,2
21066,2,M,J,2
21087,2,M,J,2
21090,1,M,J,2
21092,2,M,J,2
21093,1,M,J,2
21106,5,H,J,4
21118,3,H,J,4
21129,4,M,J,2
21130,1,A,A,1
21134,1,M,J,2
21148,1,M,J,2
21163,2,M,J,2
21165,4,mixed,J,3
21185,3,O,O,0
21186,1,O,O,0
21261,2,H,J,4
22503,5,A,A,1
22515,1,A,A,1
22573,1,H,J,4
22574,2,H,J,4
22640,1,M,J,2
22641,1,M,J,2
22804,3,M,J,2
22863,2,mixed,J,3
22866,2,H,J,4
22870,2,H,J,4
22876,1,H,J,4
22879,1,H,J,4
22912,4,mixed,J,3
22914,2,mixed,J,3
22917,6,H,J,4
22918,4,mixed,J,3
22919,1,M,J,2
22926,3,H,J,4
22986,1,M,J,2
22998,1,H,J,4
23008,1,H,J,4
23012,1,H,J,4
23013,1,H,J,4
23066,3,H,J,4
23072,4,H,J,4
23075,1,M,J,2
23090,2,M,J,2
23106,2,M,J,2
23121,2,M,J,2
23137,5,H,J,4
23139,1,H,J,4
23151,1,M,J,2
23156,1,M,J,2
23163,3,M,J,2
23177,2,M,J,2
23198,3,A,A,1
23200,1,A,A,1
23245,2,M,J,2
23253,1,H,J,4
23255,1,M,J,2
23258,1,H,J,4
23280,2,M,J,2
27375,6,H,J,4
28046,3,M,J,2
28047,1,H,J,4
28048,6,M,J,2
28049,1,H,J,4
28050,9,H,J,4
28051,9,M,J,2
28052,5,M,J,2
28053,2,H,J,4
28055,4,H,J,4
28108,1,H,J,4
29165,3,H,J,4
29522,2,A,A,1
29523,6,A,A,1
29524,2,A,A,1
29527,2,A,A,1
29530,1,A,A,1
29533,1,A,A,1
29536,2,H,J,4
29539,14,H,J,4
29540,2,O,O,0
29552,1,M,J,2
29553,1,M,J,2
29555,2,M,J,2
29631,2,H,J,4
29638,2,M,J,2
29647,3,M,J,2
29669,1,A,A,1
29707,1,M,J,2
29709,1,M,J,2
29728,1,H,J,4
29775,2,mixed,J,3
29787,4,mixed,J,3
29802,3,M,J,2
29863,3,M,J,2
29882,1,M,J,2
29884,15,M,J,2
29934,8,H,J,4
29935,5,H,J,4
29936,11,H,J,4
29937,10,H,J,4
29939,7,H,J,4
29960,2,M,J,2
29970,3,H,J,4
30001,1,H,J,4
30002,1,H,J,4
30003,3,H,J,4
30004,5,H,J,4
30006,2,mixed,J,3
30007,6,H,J,4
30009,8,M,J,2
30012,2,M,J,2
30015,4,H,J,4
30016,2,mixed,J,3
30018,1,M,J,2
30023,3,A,A,1
30024,3,H,J,4
30025,2,mixed,J,3
30026,4,M,J,2
30030,1,M,J,2
30076,2,H,J,4
30077,1,H,J,4
30079,10,H,J,4
30080,3,H,J,4
30082,2,H,J,4
30084,5,H,J,4
30085,11,H,J,4
30091,2,H,J,4
30092,3,M,J,2
30094,3,H,J,4
30099,4,H,J,4
30100,3,H,J,4
30101,1,H,J,4
30102,6,H,J,4
30103,1,H,J,4
30105,2,H,J,4
30106,7,H,J,4
30107,2,H,J,4
30114,1,M,J,2
30115,1,H,J,4
30116,4,mixed,J,3
30119,2,H,J,4
30121,1,M,J,2
30128,1,M,J,2
30133,4,H,J,4
30138,5,H,J,4
30141,6,H,J,4
30143,5,M,J,2
30144,7,H,J,4
30145,2,mixed,J,3
30147,2,mixed,J,3
30149,1,M,J,2
30150,3,M,J,2
30151,2,H,J,4
30153,6,H,J,4
30154,4,M,J,2
30157,2,H,J,4
30160,5,H,J,4
30161,4,M,J,2
30163,1,M,J,2
30164,17,M,J,2
30165,5,M,J,2
30166,5,H,J,4
30168,2,H,J,4
30169,3,H,J,4
30171,6,H,J,4
30173,2,mixed,J,3
30178,2,M,J,2
30181,1,M,J,2
30183,6,H,J,4
30184,5,H,J,4
30185,6,H,J,4
30187,10,M,J,2
30190,2,M,J,2
30191,3,M,J,2
30192,7,H,J,4
30193,3,M,J,2
30194,1,H,J,4
30197,1,M,J,2
30198,5,H,J,4
30199,6,mixed,J,3
30203,4,M,J,2
30204,4,H,J,4
30205,3,M,J,2
30206,2,mixed,J,3
30209,4,mixed,J,3
30213,1,M,J,2
30230,1,H,J,4
30234,1,H,J,4
30235,2,H,J,4
30236,25,H,J,4
30240,1,H,J,4
30244,14,H,J,4
30245,7,H,J,4
30246,7,H,J,4
30255,9,H,J,4
30256,3,H,J,4
30260,1,H,J,4
30265,4,H,J,4
30271,6,H,J,4
30280,11,A,A,1
30283,1,A,A,1
30299,2,H,J,4
30303,1,M,J,2
30306,1,M,J,2
30307,1,M,J,2
30308,2,M,J,2
30311,1,M,J,2
30312,3,H,J,4
30316,1,M,J,2
30322,2,M,J,2
30324,1,M,J,2
30330,1,H,J,4
30332,4,H,J,4
30333,1,H,J,4
30338,2,mixed,J,3
30340,2,M,J,2
30341,9,H,J,4
30342,1,H,J,4
30348,1,H,J,4
30350,5,H,J,4
30357,3,M,J,2
30366,1,H,J,4
30367,2,mixed,J,3
30373,2,M,J,2
30391,1,M,J,2
30398,6,H,J,4
30399,3,H,J,4
30407,7,H,J,4
30408,1,M,J,2
30412,3,M,J,2
30413,7,M,J,2
30414,2,H,J,4
30415,3,H,J,4
30420,2,H,J,4
30422,2,mixed,J,3
30424,8,M,J,2
30430,1,M,J,2
30435,6,M,J,2
30436,2,H,J,4
30437,1,M,J,2
30438,3,H,J,4
30439,5,H,J,4
30447,3,M,J,2
30448,3,M,J,2
30449,1,M,J,2
30455,3,M,J,2
30456,5,M,J,2
30462,5,M,J,2
30465,2,M,J,2
30467,1,H,J,4
30473,1,H,J,4
30474,1,M,J,2
30476,1,M,J,2
30477,2,H,J,4
30482,1,A,A,1
30483,1,M,J,2
30491,6,A,A,1
30497,2,M,J,2
30501,3,M,J,2
30514,1,A,A,1
30524,7,A,A,1
30526,1,A,A,1
30527,1,A,A,1
30537,2,M,J,2
30540,2,M,J,2
30543,2,A,A,1
30549,2,A,A,1
30551,2,A,A,1
30552,1,A,A,1
30561,2,H,J,4
30562,3,H,J,4
30563,6,H,J,4
30564,9,H,J,4
30565,5,H,J,4
30590,1,H,J,4
30598,2,H,J,4
30610,5,A,A,1
30613,2,mixed,J,3
30615,1,A,A,1
30628,2,mixed,J,3
30629,5,M,J,2
30630,6,mixed,J,3
30642,2,H,J,4
30643,1,H,J,4
30644,11,H,J,4
30645,10,H,J,4
30647,7,H,J,4
30648,6,H,J,4
30649,8,H,J,4
30652,6,mixed,J,3
30653,1,H,J,4
30657,2,H,J,4
30659,6,M,J,2
30660,2,mixed,J,3
30661,1,H,J,4
30662,3,M,J,2
30663,6,mixed,J,3
30665,2,M,J,2
30688,2,mixed,J,3
30689,2,H,J,4
30690,5,H,J,4
30695,5,H,J,4
30710,1,H,J,4
30712,1,M,J,2
30714,8,H,J,4
30716,8,H,J,4
30717,7,H,J,4
30718,8,H,J,4
