gush_number,school_gan,education_type,ethnicity,religious or not
6583,16,M,J,2
6586,14,M,J,2
6587,3,H,J,4
6589,2,M,J,2
6599,3,M,J,2
6614,11,M,J,2
6615,5,M,J,2
6616,1,M,J,2
6620,11,M,J,2
6623,10,M,J,2
6624,9,M,J,2
6625,18,M,J,2
6626,4,M,J,2
6627,4,M,J,2
6628,8,M,J,2
6629,2,M,J,2
6630,7,M,J,2
6631,13,M,J,2
6636,10,M,J,2
6637,12,M,J,2
6638,9,M,J,2
6646,2,M,J,2
6653,3,M,J,2
6657,3,M,J,2
6661,4,M,J,2
6663,4,M,J,2
6666,2,M,J,2
6667,1,M,J,2
6668,3,M,J,2
6669,4,M,J,2
6685,4,M,J,2
6688,1,M,J,2
6691,2,M,J,2
6692,3,H,J,4
6693,3,M,J,2
6694,4,M,J,2
6695,4,M,J,2
6704,1,M,J,2
6711,12,mixed,J,3
6712,12,M,J,2
6713,7,H,J,4
6714,11,M,J,2
6715,15,M,J,2
6716,3,M,J,2
6717,2,M,J,2
6720,21,M,J,2
6721,2,M,J,2
6725,2,M,J,2
6727,3,M,J,2
6740,6,M,J,2
6746,2,M,J,2
6750,10,M,J,2
6755,4,M,J,2
6759,7,M,J,2
6760,11,M,J,2
6769,1,M,J,2
6770,0,H,J,4
6771,2,M,J,2
6772,3,M,J,2
6790,18,H,J,4
6794,1,M,J,2
6797,2,M,J,2
6799,1,H,J,4
6800,2,M,J,2
6807,5,M,J,2
6809,2,M,J,2
6810,11,M,J,2
6811,3,H,J,4
6813,3,H,J,4
6814,4,H,J,4
6821,3,M,J,2
6822,2,M,J,2
6823,4,M,J,2
6826,1,M,J,2
6829,2,H,J,4
6837,4,H,J,4
6843,1,M,J,2
6849,2,M,J,2
6851,1,M,J,2
6853,3,H,J,4
6855,3,M,J,2
6858,1,H,J,4
6859,2,M,J,2
6860,1,M,J,2
6861,1,H,J,4
6862,2,M,J,2
6864,4,M,J,2
6865,1,M,J,2
6866,8,M,J,2
6869,10,M,J,2
6870,5,M,J,2
6872,6,M,J,2
6873,3,M,J,2
6876,2,H,J,4
6879,1,M,J,2
6880,4,M,J,2
6882,1,H,J,4
6886,4,M,J,2
6889,2,M,J,2
6891,1,M,J,2
6892,5,M,J,2
6903,2,M,J,2
6906,1,M,J,2
6910,1,M,J,2
6911,11,M,J,2
6915,1,M,J,2
6919,1,H,J,4
6920,4,M,J,2
6933,2,mixed,J,3
6952,2,M,J,2
6955,3,M,J,2
6957,3,M,J,2
6958,1,M,J,2
6960,11,M,J,2
6962,3,M,J,2
6963,1,M,J,2
6972,4,M,J,2
